Weight, Velocity, Chord Length, Wing Span, Lift Coefficient, Drag Coefficient
6000, 250.0, 4.25, 25.0, 2.1657, 0.6782
6000, 250.0, 4.25, 30.0, 1.8047, 0.4844
6000, 250.0, 4.25, 35.0, 1.5469, 0.3734
6000, 250.0, 4.25, 40.0, 1.3535, 0.3030
6000, 250.0, 4.25, 45.0, 1.2031, 0.2549
6000, 250.0, 4.25, 50.0, 1.0828, 0.2201
6000, 250.0, 4.50, 20.0, 2.5567, 1.0113
6000, 250.0, 4.50, 25.0, 2.0453, 0.6405
6000, 250.0, 4.50, 30.0, 1.7045, 0.4575
6000, 250.0, 4.50, 35.0, 1.4610, 0.3527
6000, 250.0, 4.50, 40.0, 1.2783, 0.2862
6000, 250.0, 4.50, 45.0, 1.1363, 0.2408
6000, 250.0, 4.50, 50.0, 1.0227, 0.2079
6000, 250.0, 4.75, 20.0, 2.4221, 0.9581
6000, 250.0, 4.75, 25.0, 1.9377, 0.6068
6000, 250.0, 4.75, 30.0, 1.6147, 0.4334
6000, 250.0, 4.75, 35.0, 1.3841, 0.3341
6000, 250.0, 4.75, 40.0, 1.2111, 0.2711
6000, 250.0, 4.75, 45.0, 1.0765, 0.2281
6000, 250.0, 4.75, 50.0, 0.9688, 0.1970
6000, 250.0, 5.00, 20.0, 2.3010, 0.9102
6000, 250.0, 5.00, 25.0, 1.8408, 0.5765
6000, 250.0, 5.00, 30.0, 1.5340, 0.4117
6000, 250.0, 5.00, 35.0, 1.3149, 0.3174
6000, 250.0, 5.00, 40.0, 1.1505, 0.2576
6000, 250.0, 5.00, 45.0, 1.0227, 0.2167
6000, 250.0, 5.00, 50.0, 0.9204, 0.1871
6000, 250.0, 5.25, 20.0, 2.1914, 0.8668
6000, 250.0, 5.25, 25.0, 1.7532, 0.5490
6000, 250.0, 5.25, 30.0, 1.4610, 0.3921
6000, 250.0, 5.25, 35.0, 1.2523, 0.3023
6000, 250.0, 5.25, 40.0, 1.0957, 0.2453
6000, 250.0, 5.25, 45.0, 0.9740, 0.2064
6000, 250.0, 5.25, 50.0, 0.8766, 0.1782
6000, 250.0, 5.50, 20.0, 2.0918, 0.8274
6000, 250.0, 5.50, 25.0, 1.6735, 0.5241
6000, 250.0, 5.50, 30.0, 1.3946, 0.3743
6000, 250.0, 5.50, 35.0, 1.1953, 0.2886
6000, 250.0, 5.50, 40.0, 1.0459, 0.2342
6000, 250.0, 5.50, 45.0, 0.9297, 0.1970
6000, 250.0, 5.50, 50.0, 0.8367, 0.1701
6000, 250.0, 5.75, 20.0, 2.0009, 0.7915
6000, 250.0, 5.75, 25.0, 1.6007, 0.5013
6000, 250.0, 5.75, 30.0, 1.3339, 0.3580
6000, 250.0, 5.75, 35.0, 1.1434, 0.2760
6000, 250.0, 5.75, 40.0, 1.0004, 0.2240
6000, 250.0, 5.75, 45.0, 0.8893, 0.1884
6000, 250.0, 5.75, 50.0, 0.8004, 0.1627
6000, 250.0, 6.00, 20.0, 1.9175, 0.7585
6000, 250.0, 6.00, 25.0, 1.5340, 0.4804
6000, 250.0, 6.00, 30.0, 1.2783, 0.3431
6000, 250.0, 6.00, 35.0, 1.0957, 0.2645
6000, 250.0, 6.00, 40.0, 0.9588, 0.2147
6000, 250.0, 6.00, 45.0, 0.8522, 0.1806
6000, 250.0, 6.00, 50.0, 0.7670, 0.1559
6500, 100.0, 4.00, 20.0, 19.4747, 33.1770
6500, 100.0, 4.00, 25.0, 15.5798, 17.8495
6500, 100.0, 4.00, 30.0, 12.9831, 10.9399
6500, 100.0, 4.00, 35.0, 11.1284, 7.3435
6500, 100.0, 4.00, 40.0, 9.7374, 5.2707
6500, 100.0, 4.00, 45.0, 8.6554, 3.9812
6500, 100.0, 4.00, 50.0, 7.7899, 3.1300
6500, 100.0, 4.25, 20.0, 18.3291, 31.2254
6500, 100.0, 4.25, 25.0, 14.6633, 16.7996
6500, 100.0, 4.25, 30.0, 12.2194, 10.2964
6500, 100.0, 4.25, 35.0, 10.4738, 6.9115
6500, 100.0, 4.25, 40.0, 9.1646, 4.9606
6500, 100.0, 4.25, 45.0, 8.1463, 3.7470
6500, 100.0, 4.25, 50.0, 7.3317, 2.9459
6500, 100.0, 4.50, 20.0, 17.3109, 29.4907
6500, 100.0, 4.50, 25.0, 13.8487, 15.8662
6500, 100.0, 4.50, 30.0, 11.5406, 9.7244
6500, 100.0, 4.50, 35.0, 9.8919, 6.5275
6500, 100.0, 4.50, 40.0, 8.6554, 4.6850
